admire_count,collect_count,comment_count,digg_count,play_count,share_count
0,1183,326,5778,0,848
3,444176,51361,1648348,0,184854
0,403,52,2077,0,489
0,218,120,1697,0,406
0,290,153,2849,0,297
0,1658,769,8534,0,1068
0,791,192,3922,0,709
0,21803,1764,57719,0,18776
0,720,1090,6153,0,627
0,1949,6230,22947,0,3503
1,24029,1787,93135,0,24903
0,164,99,2066,0,339
0,297,470,4124,0,252
0,2050,89,7428,0,2638
0,10607,1040,36424,0,7583
0,1695,195,7428,0,2238
0,1221,56,5273,0,1915
0,340,117,2130,0,536
0,256,76,2035,0,509
0,340,62,2926,0,798
0,279,62,2218,0,512
0,19338,1156,74133,0,33767
0,1570,187,10071,0,2933
0,551,87,4535,0,1279
0,513,572,29289,0,5690
0,480,66,3630,0,1443
0,345,105,2582,0,473
0,1056,186,8217,0,2145
0,484,73,3326,0,896
0,5144,1927,34331,0,5432
0,178,49,1524,0,303
0,293,98,2853,0,503
0,273,116,2011,0,490
0,37534,3678,202241,0,49436
0,216,107,2068,0,339
0,570,58,3615,0,510
0,110,141,1097,0,146
0,266,80,3056,0,517
0,191,91,1713,0,281
0,917,4236,13512,0,781
0,115,32,1124,0,161
0,229,31,1512,0,407
0,348,35,2543,0,579
0,104,22,1193,0,169
0,225,54,2028,0,335
0,2025,719,22504,0,1941
0,91,49,1309,0,170
0,131,75,1652,0,310
0,71,182,1211,0,133
0,138,68,1643,0,298
0,157,334,1900,0,197
0,174,26,1554,0,366
0,290,69,2272,0,536
0,658,173,21552,0,1729
0,1653,108,7348,0,1988
0,6411,1447,66270,0,7139
0,83,39,1017,0,156
0,118,80,1141,0,218
0,102,104,1034,0,122
0,10864,451,62758,0,22699
0,1599,1200,36112,0,4731
0,77,119,1371,0,122
0,151,85,1380,0,216
0,351,81,2761,0,481
0,358,660,9694,0,498
0,59,595,1311,0,102
0,120,108,950,0,157
0,376,86,2110,0,355
0,131,83,1670,0,288
0,210,90,2167,0,568
0,184,93,1442,0,253
0,161,310,1456,0,239
0,72,582,1325,0,133
0,254,98,1341,0,290
0,98,25,1185,0,167
0,180,77,1934,0,318
0,87,147,1193,0,114
0,142,911,3413,0,186
0,124,196,1538,0,228
0,344,361,4065,0,522
0,750,1064,8610,0,543
0,101,287,1286,0,136
0,268,418,5729,0,493
